y, x, f(x)
1.11349,0.1075,1.11349
1.11405,0.108,1.11405
1.1146,0.1085,1.1146
1.11516,0.109,1.11516
1.11572,0.1095,1.11572
1.11628,0.11,1.11628
1.11684,0.1105,1.11684
1.11739,0.111,1.11739
1.11795,0.1115,1.11795
1.11851,0.112,1.11851
1.11907,0.1125,1.11907
1.11963,0.113,1.11963
1.12019,0.1135,1.12019
1.12075,0.114,1.12075
1.12131,0.1145,1.12131
1.12187,0.115,1.12187
1.12243,0.1155,1.12243
1.123,0.116,1.123
1.12356,0.1165,1.12356
1.12412,0.117,1.12412
1.12468,0.1175,1.12468
1.12524,0.118,1.12524
1.12581,0.1185,1.12581
1.12637,0.119,1.12637
1.12693,0.1195,1.12693
1.1275,0.12,1.1275
1.12806,0.1205,1.12806
1.12862,0.121,1.12862
1.12919,0.1215,1.12919
1.12975,0.122,1.12975
1.13032,0.1225,1.13032
1.13088,0.123,1.13088
1.13145,0.1235,1.13145
1.13202,0.124,1.13202
1.13258,0.1245,1.13258
1.13315,0.125,1.13315
1.13372,0.1255,1.13372
1.13428,0.126,1.13428
1.13485,0.1265,1.13485
1.13542,0.127,1.13542
1.13598,0.1275,1.13598
1.13655,0.128,1.13655
1.13712,0.1285,1.13712
1.13769,0.129,1.13769
1.13826,0.1295,1.13826
1.13883,0.13,1.13883
1.1394,0.1305,1.1394
1.13997,0.131,1.13997
1.14054,0.1315,1.14054
1.14111,0.132,1.14111
1.14168,0.1325,1.14168
1.14225,0.133,1.14225
1.14282,0.1335,1.14282
1.14339,0.134,1.14339
1.14396,0.1345,1.14396
1.14454,0.135,1.14454
1.14511,0.1355,1.14511
1.14568,0.136,1.14568
1.14625,0.1365,1.14625
1.14683,0.137,1.14683
1.1474,0.1375,1.1474
1.14798,0.138,1.14798
1.14855,0.1385,1.14855
1.14912,0.139,1.14912
1.1497,0.1395,1.1497
1.15027,0.14,1.15027
1.15085,0.1405,1.15085
1.15142,0.141,1.15142
1.152,0.1415,1.152
1.15258,0.142,1.15258
1.15315,0.1425,1.15315
1.15373,0.143,1.15373
1.15431,0.1435,1.15431
1.15488,0.144,1.15488
1.15546,0.1445,1.15546
1.15604,0.145,1.15604
1.15662,0.1455,1.15662
1.1572,0.146,1.1572
1.15777,0.1465,1.15777
1.15835,0.147,1.15835
1.15893,0.1475,1.15893
1.15951,0.148,1.15951
1.16009,0.1485,1.16009
1.16067,0.149,1.16067
1.16125,0.1495,1.16125
1.16183,0.15,1.16183
1.16242,0.1505,1.16242
1.163,0.151,1.163
1.16358,0.1515,1.16358
1.16416,0.152,1.16416
1.16474,0.1525,1.16474
1.16532,0.153,1.16532
1.16591,0.1535,1.16591
1.16649,0.154,1.16649
1.16707,0.1545,1.16707
1.16766,0.155,1.16766
1.16824,0.1555,1.16824
1.16883,0.156,1.16883
1.16941,0.1565,1.16941
1.17,0.157,1.17
1.17058,0.1575,1.17058
1.17117,0.158,1.17117
1.17175,0.1585,1.17175
1.17234,0.159,1.17234
1.17292,0.1595,1.17292
1.17351,0.16,1.17351
1.1741,0.1605,1.1741
1.17468,0.161,1.17468
1.17527,0.1615,1.17527
1.17586,0.162,1.17586
1.17645,0.1625,1.17645
1.17704,0.163,1.17704
1.17763,0.1635,1.17763
1.17821,0.164,1.17821
1.1788,0.1645,1.1788
1.17939,0.165,1.17939
1.17998,0.1655,1.17998
1.18057,0.166,1.18057
1.18116,0.1665,1.18116
1.18175,0.167,1.18175
1.18235,0.1675,1.18235
1.18294,0.168,1.18294
1.18353,0.1685,1.18353
1.18412,0.169,1.18412
1.18471,0.1695,1.18471
1.1853,0.17,1.1853
1.1859,0.1705,1.1859
1.18649,0.171,1.18649
1.18708,0.1715,1.18708
1.18768,0.172,1.18768
1.18827,0.1725,1.18827
1.18887,0.173,1.18887
1.18946,0.1735,1.18946
1.19006,0.174,1.19006
1.19065,0.1745,1.19065
1.19125,0.175,1.19125
1.19184,0.1755,1.19184
1.19244,0.176,1.19244
