for S =1 :
y,x,f(x)
0.00420296,0.402,0.0104084
0.00422378,0.404,0.0104105
0.00424461,0.406,0.0104126
0.00426543,0.408,0.0104146
0.00428626,0.41,0.0104167
0.0043071,0.412,0.0104188
0.00432794,0.414,0.0104208
0.00434878,0.416,0.0104229
0.00436963,0.418,0.010425
0.00439048,0.42,0.010427
0.00441134,0.422,0.0104291
0.0044322,0.424001,0.0104312
0.00445306,0.426001,0.0104333
0.00447393,0.428001,0.0104353
0.0044948,0.430001,0.0104374
0.00451568,0.432001,0.0104395
0.00453656,0.434001,0.0104416
0.00455745,0.436001,0.0104436
0.00457834,0.438001,0.0104457
0.00459923,0.440001,0.0104478
0.00462013,0.442001,0.0104499
0.00464103,0.444001,0.010452
0.00466194,0.446001,0.010454
0.00468285,0.448001,0.0104561
0.00470376,0.450001,0.0104582
0.00472468,0.452001,0.0104603
0.0047456,0.454001,0.0104624
0.00476653,0.456001,0.0104645
0.00478746,0.458001,0.0104666
0.00480839,0.460001,0.0104686
0.00482933,0.462001,0.0104707
0.00485028,0.464001,0.0104728
0.00487123,0.466001,0.0104749
0.00489218,0.468001,0.010477
0.00491313,0.470001,0.0104791
0.00493409,0.472001,0.0104812
0.00495506,0.474001,0.0104833
0.00497603,0.476001,0.0104854
0.004997,0.478001,0.0104875
0.00501798,0.480001,0.0104896
0.00503896,0.482001,0.0104917
0.00505994,0.484001,0.0104938
0.00508093,0.486001,0.0104959
0.00510193,0.488001,0.010498
0.00512293,0.490001,0.0105001
0.00514393,0.492001,0.0105022
0.00516493,0.494001,0.0105043
0.00518594,0.496001,0.0105064
0.00520696,0.498001,0.0105085
0.00522798,0.500001,0.0105106
0.005249,0.502001,0.0105127
0.00527003,0.504001,0.0105148
0.00529106,0.506001,0.0105169
0.0053121,0.508001,0.010519
0.00533314,0.510001,0.0105211
0.00535418,0.512001,0.0105232
0.00537523,0.514,0.0105253
0.00539628,0.516,0.0105275
0.00541734,0.518,0.0105296
0.0054384,0.52,0.0105317
0.00545947,0.522,0.0105338
0.00548054,0.524,0.0105359
0.00550161,0.526,0.010538
0.00552269,0.528,0.0105401
0.00554377,0.53,0.0105423
0.00556486,0.532,0.0105444
0.00558595,0.534,0.0105465
0.00560704,0.536,0.0105486
0.00562814,0.538,0.0105507
0.00564925,0.54,0.0105529
0.00567035,0.542,0.010555
0.00569147,0.544,0.0105571
0.00571258,0.546,0.0105592
0.0057337,0.548,0.0105614
0.00575483,0.55,0.0105635
0.00577596,0.552,0.0105656
0.00579709,0.554,0.0105677
0.00581823,0.556,0.0105699
0.00583937,0.558,0.010572
0.00586052,0.56,0.0105741
0.00588167,0.562,0.0105763
0.00590282,0.564,0.0105784
0.00592398,0.566,0.0105805
0.00594514,0.568,0.0105827
0.00596631,0.57,0.0105848
0.00598748,0.572,0.0105869
0.00600866,0.574,0.0105891
0.00602984,0.576,0.0105912
0.00605102,0.578,0.0105933
0.00607221,0.58,0.0105955
0.00609341,0.582,0.0105976
0.0061146,0.584,0.0105998
0.0061358,0.586,0.0106019
0.00615701,0.588,0.010604
0.00617822,0.589999,0.0106062
0.00619943,0.591999,0.0106083
0.00622065,0.593999,0.0106105
0.00624188,0.595999,0.0106126
0.0062631,0.597999,0.0106148
0.00628434,0.599999,0.0106169
0.00630557,0.601999,0.0106191
0.00632681,0.603999,0.0106212
0.00634806,0.605999,0.0106234
0.00636931,0.607999,0.0106255
0.00639056,0.609999,0.0106277
0.00641182,0.611999,0.0106298
0.00643308,0.613999,0.010632
0.00645434,0.615999,0.0106341
0.00647561,0.617999,0.0106363
0.00649689,0.619999,0.0106385
0.00651817,0.621999,0.0106406
0.00653945,0.623999,0.0106428
0.00656074,0.625999,0.0106449
0.00658203,0.627999,0.0106471
0.00660333,0.629999,0.0106493
0.00662463,0.631999,0.0106514
0.00664593,0.633999,0.0106536
0.00666724,0.635999,0.0106557
0.00668856,0.637999,0.0106579
0.00670987,0.639999,0.0106601
0.0067312,0.641999,0.0106622
0.00675252,0.643999,0.0106644
0.00677385,0.645999,0.0106666
0.00679519,0.647999,0.0106687
0.00681653,0.649999,0.0106709
0.00683787,0.651999,0.0106731
0.00685922,0.653999,0.0106753
0.00688057,0.655999,0.0106774
0.00690193,0.657999,0.0106796
0.00692329,0.659999,0.0106818
0.00694466,0.661999,0.010684
0.00696603,0.663999,0.0106861
0.0069874,0.665999,0.0106883
0.00700878,0.667998,0.0106905
0.00703017,0.669998,0.0106927
0.00705155,0.671998,0.0106949
0.00707295,0.673998,0.010697
0.00709434,0.675998,0.0106992
0.00711574,0.677998,0.0107014
0.00713715,0.679998,0.0107036
0.00715856,0.681998,0.0107058
0.00717997,0.683998,0.010708
0.00720139,0.685998,0.0107101
0.00722281,0.687998,0.0107123
0.00724424,0.689998,0.0107145
0.00726567,0.691998,0.0107167
0.0072871,0.693998,0.0107189
0.00730854,0.695998,0.0107211
0.00732999,0.697998,0.0107233
0.00735144,0.699998,0.0107255
0.00737289,0.701998,0.0107277
0.00739435,0.703998,0.0107299
0.00741581,0.705998,0.0107321
0.00743728,0.707998,0.0107343
0.00745875,0.709998,0.0107364
0.00748022,0.711998,0.0107386
0.0075017,0.713998,0.0107408
0.00752319,0.715998,0.010743
0.00754467,0.717998,0.0107452
0.00756617,0.719998,0.0107475
0.00758766,0.721998,0.0107497
0.00760916,0.723998,0.0107519
0.00763067,0.725998,0.0107541
0.00765218,0.727998,0.0107563
0.0076737,0.729998,0.0107585
0.00769522,0.731998,0.0107607
0.00771674,0.733998,0.0107629
0.00773827,0.735998,0.0107651
0.0077598,0.737998,0.0107673
0.00778134,0.739998,0.0107695
0.00780288,0.741998,0.0107717
0.00782442,0.743998,0.0107739
0.00784597,0.745997,0.0107762
0.00786753,0.747997,0.0107784
0.00788909,0.749997,0.0107806
0.00791065,0.751997,0.0107828
0.00793222,0.753997,0.010785
0.00795379,0.755997,0.0107872
0.00797537,0.757997,0.0107895
