for S =1 :
y, x, f(x)
3.47448,2.45,1.01
3.48458,2.46,1.01
3.49468,2.47,1.01
3.50478,2.48,1.01
3.51488,2.49,1.01
3.52498,2.5,1.01
3.53508,2.51,1.01
3.54518,2.52,1.01
3.55528,2.53,1.01
3.56538,2.54,1.01
3.57548,2.55,1.01
3.58558,2.56,1.01
3.59568,2.57,1.01
3.60578,2.58,1.01
3.61588,2.59,1.01
3.62598,2.6,1.01
3.63608,2.61,1.01
3.64618,2.62,1.01
3.65628,2.63,1.01
3.66638,2.64,1.01
3.67648,2.65,1.01
3.68658,2.66,1.01
3.69668,2.67,1.01
3.70678,2.68,1.01
3.71688,2.69,1.01
3.72698,2.7,1.01
3.73708,2.71,1.01
3.74718,2.72,1.01
3.75728,2.73,1.01
3.76738,2.74,1.01
3.77748,2.75,1.01
3.78758,2.76,1.01
3.79768,2.77,1.01
3.80778,2.78,1.01
3.81788,2.79,1.01
3.82798,2.8,1.01
3.83808,2.81,1.01
3.84818,2.82,1.01
3.85828,2.83,1.01
3.86838,2.84,1.01
3.87848,2.85,1.01
3.88858,2.86,1.01
3.89868,2.87,1.01
3.90878,2.88,1.01
3.91888,2.89,1.01
3.92898,2.9,1.01
3.93908,2.91,1.01
3.94918,2.92,1.01
3.95928,2.93,1.01
3.96938,2.94,1.01
3.97948,2.95,1.01
3.98958,2.96,1.01
3.99968,2.97,1.01
4.00978,2.98,1.01
4.01988,2.99,1.01
4.02998,3,1.01
4.04008,3.01,1.01
4.05018,3.02,1.01
4.06028,3.03,1.01
4.07038,3.04,1.01
4.08048,3.05,1.01
4.09058,3.06,1.01
4.10068,3.07,1.01
4.11078,3.08,1.01
4.12088,3.09,1.01
4.13098,3.1,1.01
4.14108,3.11,1.01
4.15118,3.12,1.01
4.16128,3.13,1.01
4.17138,3.14,1.01
4.18148,3.15,1.01
4.19158,3.16,1.01
4.20168,3.17,1.01
4.21178,3.18,1.01
4.22188,3.19,1.01
4.23198,3.2,1.01
4.24208,3.21,1.01
4.25218,3.22,1.01
4.26228,3.23,1.01
4.27238,3.24,1.01
4.28248,3.25,1.01
4.29258,3.26,1.01
4.30268,3.27,1.01
4.31278,3.28,1.01
4.32288,3.29,1.01
4.33297,3.3,1.01
4.34307,3.31,1.01
4.35317,3.32,1.01
4.36327,3.33,1.01
4.37337,3.34,1.01
4.38347,3.35,1.01
4.39357,3.36,1.01
4.40367,3.37,1.01
4.41377,3.38,1.01
4.42387,3.39,1.01
4.43397,3.4,1.01
4.44407,3.41,1.01
4.45417,3.42,1.01
4.46427,3.43,1.01
4.47437,3.44,1.01
4.48447,3.45,1.01
4.49457,3.46,1.01
4.50467,3.47,1.01
4.51477,3.48,1.01
4.52487,3.49,1.01
4.53497,3.5,1.01
4.54507,3.51,1.01
4.55517,3.52,1.01
4.56527,3.53,1.01
4.57537,3.54,1.01
4.58547,3.55,1.01
4.59557,3.56,1.01
4.60567,3.57,1.01
4.61577,3.58,1.01
4.62587,3.59,1.01
4.63597,3.6,1.01
4.64607,3.61,1.01
4.65617,3.62,1.01
4.66627,3.63,1.01
4.67637,3.64,1.01
4.68647,3.65,1.01
4.69657,3.66,1.01
4.70667,3.67,1.01
4.71677,3.68,1.01
4.72687,3.69,1.01
4.73697,3.7,1.01
4.74707,3.71,1.01
4.75717,3.72,1.01
4.76727,3.73,1.01
4.77737,3.74,1.01
4.78747,3.75,1.01
4.79757,3.76,1.01
4.80767,3.77,1.01
4.81777,3.78,1.01
4.82787,3.79,1.01
4.83797,3.8,1.01
4.84807,3.81,1.01
4.85817,3.82,1.01
4.86827,3.83,1.01
4.87837,3.84,1.01
4.88847,3.85,1.01
4.89857,3.86,1.01
4.90867,3.87,1.01
4.91877,3.88,1.01
4.92887,3.89,1.01
4.93897,3.9,1.01
4.94907,3.91,1.01
4.95917,3.92,1.01
4.96927,3.93,1.01
4.97937,3.94,1.01
4.98947,3.95,1.01
4.99957,3.96,1.01
5.00967,3.97,1.01
5.01977,3.98,1.01
5.02987,3.99,1.01
5.03997,4,1.01
5.05007,4.01,1.01
5.06017,4.02,1.01
5.07027,4.03,1.01
5.08037,4.04,1.01
5.09047,4.05,1.01
5.10057,4.06,1.01
5.11067,4.07,1.01
5.12077,4.08,1.01
5.13087,4.09,1.01
5.14097,4.1,1.01
5.15107,4.11,1.01
5.16117,4.12,1.01
5.17127,4.13,1.01
5.18137,4.14,1.01
5.19147,4.15,1.01
5.20157,4.16,1.01
5.21167,4.17,1.01
5.22177,4.18,1.01
5.23186,4.19,1.01
5.24196,4.2,1.01
5.25206,4.21,1.01
5.26216,4.22,1.01
5.27226,4.23,1.01
5.28236,4.24,1.01
5.29246,4.25,1.01
5.30256,4.26,1.01
5.31266,4.27,1.01
5.32276,4.28,1.01
5.33286,4.29,1.01
5.34296,4.3,1.01
5.35306,4.31,1.01
5.36316,4.32,1.01
5.37326,4.33,1.01
5.38336,4.34,1.01
5.39346,4.35,1.01
5.40356,4.36,1.01
5.41366,4.37001,1.01
5.42376,4.38001,1.01
5.43386,4.39001,1.01
5.44396,4.40001,1.01
5.45406,4.41001,1.01
5.46416,4.42001,1.01
5.47426,4.43001,1.01
5.48436,4.44001,1.01
5.49446,4.45001,1.01
5.50456,4.46001,1.01
5.51466,4.47001,1.01
5.52476,4.48001,1.01
5.53486,4.49001,1.01
5.54496,4.50001,1.01
5.55506,4.51001,1.01
5.56516,4.52001,1.01
5.57526,4.53001,1.01
5.58536,4.54001,1.01
5.59546,4.55001,1.01
5.60556,4.56001,1.01
5.61566,4.57001,1.01
5.62576,4.58001,1.01
5.63586,4.59001,1.01
5.64596,4.60001,1.01
5.65606,4.61001,1.01
5.66616,4.62001,1.01
5.67626,4.63001,1.01
5.68636,4.64001,1.01
5.69646,4.65001,1.01
5.70656,4.66001,1.01
5.71666,4.67001,1.01
5.72676,4.68001,1.01
5.73686,4.69001,1.01
5.74696,4.70001,1.01
5.75706,4.71001,1.01
5.76716,4.72001,1.01
5.77726,4.73001,1.01
5.78736,4.74001,1.01
5.79746,4.75001,1.01
5.80756,4.76001,1.01
5.81766,4.77001,1.01
5.82776,4.78001,1.01
5.83786,4.79001,1.01
5.84796,4.80001,1.01
5.85806,4.81002,1.01
5.86816,4.82002,1.01
5.87826,4.83002,1.01
5.88836,4.84002,1.01
5.89846,4.85002,1.01
5.90856,4.86002,1.01
5.91866,4.87002,1.01
5.92876,4.88002,1.01
5.93886,4.89002,1.01
5.94896,4.90002,1.01
5.95906,4.91002,1.01
5.96916,4.92002,1.01
5.97926,4.93002,1.01
5.98936,4.94002,1.01
5.99946,4.95002,1.01
6.00956,4.96002,1.01
6.01966,4.97002,1.01
6.02976,4.98002,1.01
6.03986,4.99002,1.01
6.04996,5.00002,1.01
6.06006,5.01002,1.01
6.07016,5.02002,1.01
6.08026,5.03002,1.01
6.09036,5.04002,1.01
6.10046,5.05002,1.01
6.11056,5.06002,1.01
6.12066,5.07002,1.01
6.13075,5.08002,1.01
6.14085,5.09002,1.01
6.15095,5.10002,1.01
6.16105,5.11002,1.01
6.17115,5.12002,1.01
6.18125,5.13002,1.01
6.19135,5.14002,1.01
6.20145,5.15002,1.01
6.21155,5.16002,1.01
6.22165,5.17002,1.01
6.23175,5.18002,1.01
6.24185,5.19002,1.01
6.25195,5.20002,1.01
6.26205,5.21002,1.01
6.27215,5.22002,1.01
6.28225,5.23002,1.01
6.29235,5.24003,1.01
6.30245,5.25003,1.01
6.31255,5.26003,1.01
6.32265,5.27003,1.01
6.33275,5.28003,1.01
6.34285,5.29003,1.01
6.35295,5.30003,1.01
6.36305,5.31003,1.01
6.37315,5.32003,1.01
6.38325,5.33003,1.01
6.39335,5.34003,1.01
6.40345,5.35003,1.01
6.41355,5.36003,1.01
6.42365,5.37003,1.01
6.43375,5.38003,1.01
6.44385,5.39003,1.01
6.45395,5.40003,1.01
6.46405,5.41003,1.01
6.47415,5.42003,1.01
